Date,MeanR,StdR,Code
08/05/2020,1.328157219,0.037700166,AM
09/05/2020,1.313888551,0.037476366,AM
10/05/2020,1.303106315,0.035568633,AM
11/05/2020,1.251533164,0.034042529,AM
12/05/2020,1.261127192,0.033780741,AM
13/05/2020,1.291496448,0.033134132,AM
14/05/2020,1.238843967,0.031528523,AM
15/05/2020,1.254116817,0.031387989,AM
16/05/2020,1.275425359,0.030758819,AM
17/05/2020,1.266944687,0.029991716,AM
18/05/2020,1.345161519,0.030762904,AM
19/05/2020,1.33726663,0.030305886,AM
20/05/2020,1.300416453,0.029192137,AM
21/05/2020,1.348576315,0.028912017,AM
22/05/2020,1.360801748,0.028745627,AM
23/05/2020,1.384824348,0.029123032,AM
24/05/2020,1.39516666,0.028753866,AM
25/05/2020,1.454467783,0.029527208,AM
26/05/2020,1.408634229,0.02828534,AM
27/05/2020,1.378816113,0.027189606,AM
28/05/2020,1.388087981,0.02703909,AM
29/05/2020,1.385587773,0.026678686,AM
30/05/2020,1.303752512,0.024801963,AM
31/05/2020,1.276426461,0.023983239,AM
01/06/2020,1.179987058,0.021851114,AM
02/06/2020,1.208699039,0.021370282,AM
03/06/2020,1.236564454,0.020869728,AM
04/06/2020,1.274502771,0.020925442,AM
05/06/2020,1.28245013,0.020553805,AM
